agent,waktu
Black,0.5072
White,0.5073
Black,0.5135
White,0.5041
Black,0.5317
White,0.5341
Black,0.5422
White,0.5136
Black,0.5298
White,0.5161
Black,0.5429
White,0.5142
Black,0.5660
White,0.5187
Black,0.5450
White,0.5308
Black,0.5539
White,0.5094
Black,0.5830
White,0.5179
Black,0.5703
White,0.5152
Black,0.5351
White,0.5202
Black,0.5697
White,0.5163
Black,0.5196
White,0.5161
Black,0.5460
White,0.5159
Black,0.5612
White,0.5192
Black,0.5606
White,0.5191
Black,0.5450
White,0.5233
Black,0.5629
White,0.5237
Black,0.5286
White,0.5286
Black,0.5368
White,0.5147
Black,0.5199
White,0.5177
Black,0.5326
White,0.5245
Black,0.5130
White,0.5275
Black,0.5295
White,0.5190
Black,0.5205
White,0.5184
Black,0.5135
White,0.5158
Black,0.5115
White,0.5076
Black,0.5062
White,0.5055
Black,0.5049
White,0.5016
