agent,waktu
Black,0.5087
White,0.6053
Black,0.5183
White,0.6717
Black,0.5249
White,0.7133
Black,0.5445
White,0.9352
Black,0.5590
White,1.3588
Black,0.5417
White,1.3968
Black,0.5611
White,1.4668
Black,0.5257
White,2.0676
Black,0.5524
White,1.5352
Black,0.5625
White,1.4783
Black,0.5473
White,1.9232
Black,0.5326
White,1.2248
Black,0.5297
White,1.4175
Black,0.5335
White,0.9740
Black,0.5270
White,1.0803
Black,0.5171
White,1.4107
Black,0.5405
White,0.9179
Black,0.5322
White,1.0549
Black,0.5149
White,0.8838
Black,0.5214
White,0.8073
Black,0.5221
White,0.9151
Black,0.5183
White,0.7156
Black,0.5159
White,0.6552
Black,0.5169
White,0.6241
Black,0.5137
White,0.5997
Black,0.5214
White,0.5364
Black,0.5108
White,0.5345
Black,0.5147
White,0.5173
Black,0.5059
White,0.5034
Black,0.5028
