agent,waktu
Black,0.5197
White,0.7292
Black,0.5450
White,0.7255
Black,0.5509
White,0.7865
Black,0.5695
White,0.9410
Black,0.6058
White,0.8830
Black,0.5904
White,0.9240
Black,0.5999
White,1.3563
Black,0.6376
White,1.1028
Black,0.7122
White,1.2009
Black,1.0686
White,1.1683
Black,0.6586
White,1.0870
Black,0.7499
White,0.9876
Black,0.7132
White,1.0606
Black,0.5845
White,1.0153
Black,0.6125
White,0.9714
Black,0.5785
White,0.9023
Black,0.7245
White,0.8992
Black,0.5676
White,0.9181
Black,0.5942
White,0.8419
Black,0.6247
White,0.6456
Black,0.5675
White,0.6593
Black,0.5623
White,0.6516
Black,0.5698
White,0.6422
Black,0.5486
White,0.5325
Black,0.5583
White,0.5371
Black,0.5468
White,0.5681
Black,0.5225
White,0.5261
Black,0.5222
White,0.5331
Black,0.5114
White,0.5125
Black,0.5056
White,0.5027
