agent,waktu
Black,0.5567
White,0.6847
Black,0.6098
White,0.7635
Black,0.5500
White,0.6718
Black,0.6539
White,0.7320
Black,0.8316
White,0.8839
Black,0.8298
White,0.8806
Black,1.0375
White,0.9562
Black,0.6318
White,0.9702
Black,0.7604
White,0.8122
Black,0.8430
White,0.7592
Black,0.6880
White,0.7021
Black,0.6713
White,0.6734
Black,0.7942
White,0.7038
Black,1.0984
White,0.7171
Black,1.2413
White,0.7443
Black,1.0088
White,0.7420
Black,1.2297
White,0.6932
Black,1.2415
White,0.7147
Black,0.7852
White,0.6292
Black,0.6824
White,0.5713
Black,0.7282
White,0.5825
Black,0.6823
White,0.5358
Black,0.6224
White,0.5162
Black,0.5863
White,0.5153
Black,0.5800
White,0.5368
Black,0.5925
White,0.5230
Black,0.5606
White,0.5070
Black,0.5259
White,0.5100
Black,0.5096
White,0.5044
Black,0.5052
White,0.5033
Black,0.5513
White,0.7005
Black,0.6039
White,0.9662
Black,0.6592
White,0.8875
Black,0.7997
White,0.9214
Black,0.7414
White,0.7013
Black,0.7945
White,0.7315
Black,0.9581
White,0.8164
Black,0.9978
White,1.0766
Black,1.4702
White,0.9727
Black,0.6807
White,0.8001
Black,1.4483
White,0.8130
Black,0.6204
White,0.7755
Black,0.8472
White,0.7073
Black,0.7420
White,0.6654
Black,1.1610
White,0.6562
Black,0.8442
White,0.7627
Black,0.8868
White,0.7495
Black,0.7581
White,0.8088
Black,0.7353
White,0.7656
Black,0.7085
White,0.7028
Black,0.7012
White,0.6621
Black,0.5694
White,0.6135
Black,0.6208
White,0.5965
Black,0.6063
White,0.5850
Black,0.5695
White,0.5664
Black,0.5529
White,0.5336
Black,0.5599
White,0.5376
Black,0.5343
White,0.5286
Black,0.5169
White,0.5112
Black,0.5029
White,0.5021
