agent,waktu
Black,0.5224
White,0.6492
Black,0.5453
White,0.6392
Black,0.5818
White,0.7359
Black,0.5523
White,0.7724
Black,0.6356
White,1.0678
Black,0.6126
White,0.7624
Black,0.5761
White,1.0132
Black,0.6055
White,0.9340
Black,0.6334
White,1.4645
Black,0.6637
White,1.8047
Black,0.6491
White,1.9176
Black,0.7384
White,1.8782
Black,0.6835
White,1.8085
Black,0.6021
White,1.5964
Black,0.6119
White,1.3246
Black,0.6642
White,1.5220
Black,0.6108
White,1.2426
Black,0.5810
White,0.9599
Black,0.5897
White,1.0654
Black,0.6130
White,1.0368
Black,0.5862
White,0.9149
Black,0.6051
White,1.0513
Black,0.5716
White,0.7916
Black,0.5366
White,0.7842
Black,0.5322
White,0.6839
Black,0.5374
White,0.5925
Black,0.5267
White,0.5720
Black,0.5150
White,0.5226
Black,0.5039
White,0.5069
Black,0.5016
White,0.5032
